date,code,open,high,low,close,volume,amount,adjustflag
2019/10/31,sz.000016,4.24,4.41,4.07,4.08,170704015,720976359.3,3
2019/11/29,sz.000016,4.07,4.35,3.92,4.03,187554970,773593808.8,3
2019/12/31,sz.000016,4.02,4.73,3.98,4.37,638254638,2794199800,3
2020/1/23,sz.000016,4.4,5.21,4.35,5.21,667678732,3123681304,3
2020/2/28,sz.000016,4.69,11.61,4.69,9.66,4964401585,44712471216,3
2020/3/31,sz.000016,9.84,13.61,7.96,8.35,5479076755,57407381756,3
2020/4/30,sz.000016,8.28,9.29,6.72,7.51,2582043345,20645648183,3
2019/10/31,sz.000020,11.24,13.2,10.51,10.67,43048489,501429029.9,3
2019/11/29,sz.000020,10.69,11.17,10.05,10.23,20291795,214602097.2,3
2019/12/31,sz.000020,10.14,10.97,10.14,10.67,23119824,244180389.7,3
2020/1/23,sz.000020,10.71,11.31,10.06,10.22,21317003,230607218.9,3
2020/2/28,sz.000020,9.2,12.66,8.3,9.7,77806075,810850200.1,3
2020/3/31,sz.000020,9.65,10.48,8.98,9.07,32621709,318442901.2,3
2020/4/30,sz.000020,9.07,10.08,8.68,9.04,30117996,283973554.7,3
2019/10/31,sz.000021,11.29,11.9,10.05,10.17,802502208,8835949484,3
2019/11/29,sz.000021,10.11,10.38,9.45,9.57,534301087,5339107457,3
2019/12/31,sz.000021,9.58,13.29,9.55,12.18,1200690338,13782978981,3
2020/1/23,sz.000021,12.4,15.89,12.23,14.91,1339440717,19288775477,3
2020/2/28,sz.000021,13.42,23.5,12.08,17.41,2031671183,35857857588,3
2020/3/31,sz.000021,18.01,20.32,16.01,17.2,1758521165,32284956475,3
2020/4/30,sz.000021,16.78,22.57,16.78,20.3,1592967689,31954088234,3
2019/10/31,sz.000045,7.33,7.62,6.83,6.85,59452509,432181163,3
2019/11/29,sz.000045,6.84,8.2,6.82,7.1,114091990,856290464.9,3
2019/12/31,sz.000045,7.08,7.82,6.99,7.45,85844307,644652041.4,3
2020/1/23,sz.000045,7.5,8.27,7.26,7.31,113691271,889858601.1,3
2020/2/28,sz.000045,6.58,9.05,6.25,7.73,292457220,2291102674,3
2020/3/31,sz.000045,7.99,8.75,6.69,6.86,223913379,1764907947,3
2020/4/30,sz.000045,6.83,7.6,6.45,6.71,90982922,637501109,3
2019/10/31,sz.000050,14.24,14.57,13.47,13.78,222491122,3121236267,3
2019/11/29,sz.000050,13.73,15.37,13.64,15.33,583212498,8486476054,3
2019/12/31,sz.000050,15.42,17.57,15.04,16.29,936654222,15221746346,3
2020/1/23,sz.000050,16.4,17.93,16.05,16.54,485136462,8240148606,3
2020/2/28,sz.000050,14.89,18.95,13.4,16.2,914889430,15470090122,3
2020/3/31,sz.000050,16.34,17.35,13.18,13.33,515567430,7978476531,3
2020/4/30,sz.000050,13.34,14.25,12.8,14.18,286541728,3895335276,3
2019/10/31,sz.000063,32.47,34.76,31,33.4,1221680580,40110221150,3
2019/11/29,sz.000063,33.16,35.18,28.96,30.71,1212487225,39126192737,3
2019/12/31,sz.000063,30.68,36.28,30.21,35.39,1677883568,55746474551,3
2020/1/23,sz.000063,35.66,41.11,35.13,39.17,1685345914,63460090091,3
2020/2/28,sz.000063,35.25,55.11,35.25,50,2686347713,1.18864E+11,3
2020/3/31,sz.000063,52,56.7,37.75,42.8,3936654461,1.84427E+11,3
2020/4/30,sz.000063,42,43.44,37.5,41.09,1963784249,79360818558,3
2019/10/31,sz.000066,13.15,17.6,12.39,14.48,3118475442,45540958718,3
2019/11/29,sz.000066,14.78,16.21,14.19,14.85,2238970561,34208008080,3
2019/12/31,sz.000066,14.98,17.5,14.84,15.56,1987129481,32217029892,3
2020/1/23,sz.000066,15.68,16.65,13.93,14.18,1329191214,20919066268,3
2020/2/28,sz.000066,12.76,17.09,11.48,13.99,2758401958,40505015754,3
2020/3/31,sz.000066,14.13,16.14,11.8,11.94,1797354675,25149532244,3
2020/4/30,sz.000066,11.86,12.88,10.88,11.83,1354042104,16305577995,3
2019/10/31,sz.000100,3.56,3.62,3.29,3.29,1899842367,6548300379,3
2019/11/29,sz.000100,3.27,3.88,3.26,3.84,4391788852,15687542722,3
2019/12/31,sz.000100,3.9,4.8,3.71,4.47,8259416188,35270703364,3
2020/1/23,sz.000100,4.51,5.26,4.45,5.06,6021468955,29099590715,3
2020/2/28,sz.000100,4.55,7.37,4.54,5.88,14034953648,84767695002,3
2020/3/31,sz.000100,6.04,6.81,4.12,4.14,15820017584,85613989433,3
2020/4/30,sz.000100,4.13,4.73,4.03,4.64,9372823304,41823649536,3
2019/10/31,sz.000413,5.75,5.81,4.75,4.77,1584049200,8395893935,3
2019/11/29,sz.000413,4.76,5.14,4.73,4.8,779187916,3804342481,3
2019/12/31,sz.000413,4.32,4.32,3.06,3.36,3905068402,13352001986,3
2020/1/23,sz.000413,3.38,3.62,3,3.05,2542135824,8682431525,3
2020/2/28,sz.000413,2.75,4.43,2.48,3.64,5797537803,20314951478,3
2020/3/31,sz.000413,3.65,3.97,2.98,3,3276046009,11418019699,3
2020/4/30,sz.000413,2.99,3.24,2.61,2.78,1505020895,4474614410,3
2019/10/31,sz.000561,6.66,6.88,6.35,6.35,47423100,313924143.8,3
2019/11/29,sz.000561,6.35,6.85,6.03,6.59,78986433,512234074.8,3
2019/12/31,sz.000561,6.59,7.75,6.46,7.3,274861129,1931475265,3
2020/1/23,sz.000561,7.32,7.57,6.48,6.59,145374958,1057110731,3
2020/2/28,sz.000561,5.93,7.17,5.34,6.31,198574463,1293179061,3
2020/3/31,sz.000561,6.36,8.87,6.08,6.09,473684633,3540924657,3
2020/4/30,sz.000561,6.09,7.07,6.01,6.46,219231889,1449346118,3
2019/10/31,sz.000586,12.02,12.5,11.04,11.14,93736081,1114830369,3
2019/11/29,sz.000586,11.12,11.36,9.61,9.85,97235879,1012698860,3
2019/12/31,sz.000586,9.86,10.92,9.68,10.15,112021201,1159918833,3
2020/1/23,sz.000586,10.2,10.95,9.86,10.03,86640864,906765288.8,3
2020/2/28,sz.000586,9.03,11.38,8.13,9.73,211587015,2110052749,3
2020/3/31,sz.000586,9.82,12.86,9.82,10.89,381835316,4437974617,3
2020/4/30,sz.000586,10.88,12.3,9.62,10.05,177191859,2007045530,3
2019/10/31,sz.000636,14.68,15.6,12.35,12.57,801257769,11147881741,3
2019/11/29,sz.000636,12.42,13.38,11.21,13.26,565152507,7013288725,3
2019/12/31,sz.000636,13.22,15.53,13.12,14.89,1079183483,15664806938,3
2020/1/23,sz.000636,15.03,18.75,14.85,16.34,1203295831,21002673316,3
2020/2/28,sz.000636,14.71,27.89,13.3,24.12,2033571379,42717126754,3
2020/3/31,sz.000636,24.72,25.45,15.92,16.3,1879015083,39970407562,3
2020/4/30,sz.000636,16.48,20.65,16.45,20.25,1284403964,23817466600,3
2019/10/31,sz.000725,3.78,3.84,3.54,3.57,5186057913,19206655257,3
2019/11/29,sz.000725,3.56,3.95,3.54,3.9,9303647231,34799561573,3
2019/12/31,sz.000725,3.94,4.89,3.85,4.54,22331476224,98970421909,3
2020/1/23,sz.000725,4.57,5.13,4.55,4.72,14293095776,69414403775,3
2020/2/28,sz.000725,4.25,5.85,4.03,4.9,25472923044,1.28676E+11,3
2020/3/31,sz.000725,5,5.31,3.68,3.71,23699091680,1.06988E+11,3
2020/4/30,sz.000725,3.7,3.97,3.35,3.76,11795687152,44664864489,3
2019/10/31,sz.000733,15.9,16.95,15.19,16.4,143951497,2338301642,3
2019/11/29,sz.000733,16.35,17.28,14.51,15.19,140442665,2229447703,3
2019/12/31,sz.000733,15.15,17.72,15.02,17.15,243167202,4035375313,3
2020/1/23,sz.000733,17.19,20.15,17,19,255093813,4814058071,3
2020/2/28,sz.000733,17.1,27.42,16.64,23.48,509015020,11940863717,3
2020/3/31,sz.000733,24.01,27.11,18.39,18.78,341856506,7790424022,3
2020/4/30,sz.000733,18.63,21.62,17.36,20.32,262621397,5236872160,3
2019/10/31,sz.000801,5.8,6.07,5.35,5.37,82716697,468847877.5,3
2019/11/29,sz.000801,5.35,5.71,5.33,5.38,60813424,334746621.8,3
2019/12/31,sz.000801,5.4,5.61,5.22,5.4,72958967,397814895,3
2020/1/23,sz.000801,5.42,5.73,5.2,5.27,98699542,542662629.5,3
2020/2/28,sz.000801,4.74,5.75,4.27,5.56,221000781,1148599884,3
2020/3/31,sz.000801,5.71,6.15,4.7,4.81,241820201,1354982845,3
2020/4/30,sz.000801,4.82,5.88,4.78,5.36,186823237,1001962630,3
2019/10/31,sz.000810,8.78,11.47,8.58,10.03,633803504,6659550054,3
2019/11/29,sz.000810,10.02,11.33,9.92,10.41,450791197,4820872491,3
2019/12/31,sz.000810,10.49,13.09,10.24,11.99,493262971,5660061845,3
2020/1/23,sz.000810,12.3,15.8,12.3,14.2,580937123,8323962628,3
2020/2/28,sz.000810,12.78,16.65,11.6,13.45,709774832,10198867946,3
2020/3/31,sz.000810,13.69,14.61,11.11,11.61,554179393,7041489011,3
2020/4/30,sz.000810,11.42,12.45,9.73,10.55,351194438,4028011899,3
2019/10/31,sz.000823,10.54,11.03,9.72,10.02,196069499,2029287222,3
2019/11/29,sz.000823,10.01,10.41,9.32,10.03,239362493,2371485257,3
2019/12/31,sz.000823,10,16.19,9.98,13.51,1107904776,14932055279,3
2020/1/23,sz.000823,13.79,15.3,13.35,13.5,650819433,9358664308,3
2020/2/28,sz.000823,12.15,17.3,10.94,13.58,905831904,13062496865,3
2020/3/31,sz.000823,13.91,15.23,11.1,11.29,528100490,7022925373,3
2020/4/30,sz.000823,11.28,12.76,10.6,12.03,332559119,4001183707,3
2019/10/31,sz.000938,31.52,32.48,29.05,29.42,185378341,5705568571,3
2019/11/29,sz.000938,29.5,30.66,25.82,27.05,245938157,6963832840,3
2019/12/31,sz.000938,27.2,32.25,26.68,31.6,349769876,10544186237,3
2020/1/23,sz.000938,31.68,35.2,31.51,33.06,250823462,8337585514,3
